"Nom","Téléphone","Adresse","Adresse2","CODE POSTAL","VILLE","LATITUDE","LONGITUDE","Burger Original","Burger Sésame","Burger Poulet","Burger Bacon","Végé Creton Traditionnel","Végé Creton Blé","Végé Creton Blé Fines Herbes ","Végé Creton Fines-Herbes","Végé Pâté Traditionnel","Végé Pâté Méditerranéen","Végé Pâté Pesto"
"Le Marché Végétarien","(819) 821-2318 ","777 Rue King E, Sherbrooke, J1G 1C6","777 Rue King E","J1G 1C6","Sherbrooke","45.409026","-71.871995","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Marché des Saveurs Gaspésienne","(418) 368-7705 ","119 Rue de la Reine, Gaspé, G4X 1T5","119 Rue de la Reine","G4X 1T5","Gaspé","48.82973","-64.483794"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"L'Intégrale","(418) 392-4100 ","151 Chemin Cyr, New Richmond, G0C 2B0","151 Chemin Cyr","G0C 2B0","New Richmond","48.165468","-65.854543"," ","En magasin"," ","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Alimentation Naturelle","(450) 753-4431 ","433 Rue Saint Viateur, Joliette, J6E 3A9","433 Rue Saint Viateur","J6E 3A9","Joliette","46.025691","-73.440575"," "," "," ","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Arc en Vrac","(450) 755-3094 ","546 Bd Manseau, Joliette, J6E 3E2","546 Bd Manseau","J6E 3E2","Joliette","46.024192","-73.441341"," ","En magasin","En magasin","En magasin","En magasin"," ","En magasin"," ","En magasin"," "," "
"Métro","(450) 759-8731 ","180 Rue Beaudry N, Joliette, J6E 6A6","180 Rue Beaudry N","J6E 6A6","Joliette","46.020984","-73.450985"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Citron que c'est bon!","(450) 474-2911 ","790 Montée Masson, Mascouche, J7K 3B6","790 Montée Masson","J7K 3B6","Mascouche","45.740882","-73.610539"," "," "," "," ","En magasin"," "," ","En magasin"," ","En magasin"," "
"Metro","(450) 834-2561 ","3528 Rue Metcalfe, Rawdon, J0K 1S0","3528 Rue Metcalfe","J0K 1S0","Rawdon","46.041727","-73.699265"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"La Ruche","(450) 585-4351 ","375 Rue Notre-Dame, Repentigny, J6A 2S8","375 Rue Notre-Dame","J6A 2S8","Repentigny","45.734469","-73.451568","En magasin"," ","En magasin"," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Notre-Dame Nature","(450) 582-1777 ","104 Boulevard Industriel, Repentigny, J6A 4X6","104 Boulevard Industriel","J6A 4X6","Repentigny","45.754344","-73.443448"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Cochon Fou","(450) 824-3144","144 Rue Chapeleau, Terrebone, J6W 2T1","144 Rue Chapeleau","J6W 2T1","Terrebone","45.692996","-73.631309"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Au Naturel","(450) 492-9766 ","558 Montée Masson, Terrebone, J6W 3B1","558 Montée Masson","J6W 3B1","Terrebone","45.697551","-73.635228"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Dumais L Fruits & Légumes","(506) 759-7606 ","82 Roseberry St, Campbellton, E3N 2G8","82 Roseberry St","E3N 2G8","Campbellton","48.00404","-66.67911","En magasin","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Santé et Cetera","(506) 735-5677 ","121 Rue de l'Église, Edmundston, E3V 1J9","121 Rue de l'Église","E3V 1J9","Edmundston","47.363389","-68.329822"," "," "," "," ","En magasin"," "," "," "," "," "," "
"L'Amie de la Santé","(613) 632-2997 ","230 Main St E, Hawkesbury, K6A 1A5","230 Main St E","K6A 1A5","Hawkesbury","45.610012","-74.608526"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Market Organics","(613) 241-6629 ","126 York St, Ottawa, K1N 5T5","126 York St","K1N 5T5","Ottawa","45.429217","-75.690105"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Coop IGA Amos","(819) 732-5281 ","421 12e Av E, Amos, J9T 3H1","421 12e Av E","J9T 3H1","Amos","48.567389","-78.104559"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"La Semence","(819) 762-8918 ","119 7e Rue, Rouyn-Noranda, J9X 1Z8","119 7e Rue","J9X 1Z8","Rouyn-Noranda","48.247527","-79.016606"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Coop Aline","(418) 723-0355 ","9 Rue Saint Germain, Rimouski, G5L 4B6","9 Rue Saint Germain","G5L 4B6","Rimouski","48.449097","-68.532273","En magasin"," ","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin"," "," "
"Épicerie Santé VitaliPlus","(418) 871-3229 ","7492 Wilfrid-Hamel Blvd, Québec, G2G 1C1","7492 Wilfrid-Hamel Blvd","G2G 1C1","Québec","46.776219","-71.373871"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin","En magasin"," "
"Vitavie Au Naturel","(418) 667-0070 "," 3333 Rue du Carrefour,, Québec, G1C 5R9"," 3333 Rue du Carrefour,","G1C 5R9","Québec","46.860814","-71.21853"," ","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin"," "," "
"Le Crac","(418) 647-6881 ","690 Rue Saint-Jean, Québec, G1R 1P8","690 Rue Saint-Jean","G1R 1P8","Québec","46.810656","-71.219031"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"La Rosalie Inc","(418) 683-1936 ","1646 Chemin Saint-Louis, Québec, G1S 1G8","1646 Chemin Saint-Louis","G1S 1G8","Québec","46.783943","-71.246327"," "," "," "," "," "," "," "," "," "," "," "
"Giroflée (La)","(418) 658-7780 ","3320 Ch Ste-Foy, Québec, G1X 1S3","3320 Ch Ste-Foy","G1X 1S3","Québec","46.769671","-71.320915"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Épicerie J.A. Moisan","(418) 522-0685 ","699 Rue Saint-Jean, Québec, G1R 1P7","699 Rue Saint-Jean","G1R 1P7","Québec","46.810449","-71.218783"," "," "," "," ","En magasin","En magasin"," "," "," "," "," "
"Marché Richelieu","(418) 658-6215","2485 Chemin St-Louis, Québec, G1T 1R9","2485 Chemin St-Louis","G1T 1R9","Québec","46.768879","-71.266424"," "," "," "," ","En magasin"," "," ","En magasin"," "," "," "
"L'Intermarché","(418) 523-4592","435 rue St-Vallier, Québec, G1K 1K9","435 rue St-Vallier","G1K 1K9","Québec","46.811407","-71.239123","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin"
"Intermarché St-Roch","(418)522-4447","272 rue St-Joseph, Québec, G1K 3A9","272 rue St-Joseph","G1K 3A9","Québec","46.813591","-71.22737","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Rachelle-Béry, épiceries santé","(418) 651-3262 ","2700 Boulevard Laurier, Québec , G1V 2L8","2700 Boulevard Laurier","G1V 2L8","Québec ","46.771148","-71.285075","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin"," "," "
"Avril","(418) 425-0255","1033 rue des Recailles, Québec, G2K 0L4","1033 rue des Recailles","G2K 0L4","Québec","46.832746","-71.282957","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"IGA","(418) 622-5262","5555 boul. Des Gradins, Québec, G2J 1C8","5555 boul. Des Gradins","G2J 1C8","Québec","46.839939","-71.277516"," "," "," ","En magasin"," "," "," ","En magasin"," "," "," "
"Roset Inc","(418)527-2016","1368 av. Maguire, Québec, G1T 1Z3","1368 av. Maguire","G1T 1Z3","Québec","46.78073","-71.251045","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "," "
"Le Jardin Mobile","(418) 653-2428","2500 chemin des Quatres Bourgeois, Québec, G1V 4P9","2500 chemin des Quatres Bourgeois","G1V 4P9","Québec","46.78321","-71.287772","En magasin","En magasin","En magasin"," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Le Jardin Mobile","(418) 634-5551","625 boul. Le Bourgneuf, Québec, G2J 1C3","625 boul. Le Bourgneuf","G2J 1C3","Québec","46.843256","-71.27875","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Le Jardin Mobile","(418_529-5674","1191 Av. Cartier, Québec, G1R 2S9","1191 Av. Cartier","G1R 2S9","Québec","46.80286","-71.22425","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"AlimenteX","(418) 529-7988 ","1188 1 Av, Québec , G1L 3K8","1188 1 Av","G1L 3K8","Québec ","46.826402","-71.234027","En magasin"," "," "," ","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "
"Provigo Le Marché","(418) 622-7070 ","4545 Boulevard Henri-Bourassa, Québec, G1H 7L9","4545 Boulevard Henri-Bourassa","G1H 7L9","Québec","46.848149","-71.24323"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Le Jardin Mobile","(418)657-7717","3440Rue de la Pérade, Ste-Foy, G1X 2L7","3440Rue de la Pérade","G1X 2L7","Ste-Foy","46.764236","-71.317775"," "," ","En magasin"," ","En magasin"," "," ","En magasin","En magasin"," "," "
"O Tournesol","(418) 873-1233 ","163 Rue du Collège, Pont-Rouge, G3H 3B3","163 Rue du Collège","G3H 3B3","Pont-Rouge","46.745295","-71.693296"," "," "," "," ","En magasin"," "," "," "," "," "," "
"Panier Santé Gentilly","(819) 298-4343 ","1225 Avenue des Hirondelles, Bécancour, G9H 4L5","1225 Avenue des Hirondelles","G9H 4L5","Bécancour","46.402371","-72.274019"," "," "," "," ","En magasin"," "," "," ","En magasin","En magasin"," "
"Panier Santé","(819) 478-2387 ","303 Rue Lindsay, Drummondville, J2B 1G4","303 Rue Lindsay","J2B 1G4","Drummondville","45.881741","-72.485791"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"L'Odika L'Épicier","(819) 479-8823 ","1116 Boulevard Saint-Joseph, Drummondville, J2C 2C7","1116 Boulevard Saint-Joseph","J2C 2C7","Drummondville","45.888305","-72.504757"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," ","En magasin"
"Au Poivre Noir","(819) 399-3102 ","440 Rue Principale, Saint-Léonard-d'Aston, J0C 1M0","440 Rue Principale","J0C 1M0","Saint-Léonard-d'Aston","46.109457","-72.376154"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," ","En magasin"
"La Manne, l'épicerie santé","(819) 758-1211 ","194 Notre-Dame St, Victoriaville, G6P 4A1","194 Notre-Dame St","G6P 4A1","Victoriaville","46.057441","-71.954222","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Escompte Fruits et Cie","(819) 752-6776 ","650 Boulevard Jutras, Victoriaville, G6S 1E2","650 Boulevard Jutras","G6S 1E2","Victoriaville","46.062775","-71.932488","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Vogel Produits naturels","(450) 432-3388 ","2112 Boulevard du Curé-Labelle, Saint-Jérôme, J7Y 1S8","2112 Boulevard du Curé-Labelle","J7Y 1S8","Saint-Jérôme","45.799306","-74.010822"," ","En magasin"," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Fluide Bar à jus","(819) 681-4681","1000 Chemin des Voyageurs, Mont-Tremblant, J8E 1T1","1000 Chemin des Voyageurs","J8E 1T1","Mont-Tremblant","46.212939","-74.585558"," "," "," "," "," "," "," "," ","En magasin"," ","En magasin"
"Rosee Inc (La)","(819) 681-7447 ","856 Rue de Saint Jovite, Mont-Tremblant, J8E 3J8","856 Rue de Saint Jovite","J8E 3J8","Mont-Tremblant","46.118691","-74.591667"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Boutique La Source","(819) 275-7667 ","508 Rue L'Annonciation, Rivière-Rouge, J0T 1T0","508 Rue L'Annonciation","J0T 1T0","Rivière-Rouge","46.413903","-74.870505"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Bourassa Alimentation","(819) 326-1707 ","680 Rue Principale, Sainte-Agathe-des-Monts, J8C 1L3","680 Rue Principale","J8C 1L3","Sainte-Agathe-des-Monts","46.044707","-74.270845","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin","En magasin"," "
"IGA","(450)435-5500","450 rue Blainville, Sainte-Thérèse, J7E 1N9","450 rue Blainville","J7E 1N9","Sainte-Thérèse","45.643328","-73.816144"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"La Moisson","(450) 437-3326 ","360 Rue Sicard, Sainte-Thérèse, J7E 3X4","360 Rue Sicard","J7E 3X4","Sainte-Thérèse","45.643867","-73.862782","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Potager","(450) 472-7776 ","539 Boulevard Arthur-Sauvé, Saint-Eustache, J7P 4X5","539 Boulevard Arthur-Sauvé","J7P 4X5","Saint-Eustache","45.57371","-73.913458"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"IGA LamoureuX","(450) 491-8228 ","3765 Chemin d'Oka, Saint-Joseph-du-Lac, J0N 1M0","3765 Chemin d'Oka","J0N 1M0","Saint-Joseph-du-Lac","45.514277","-73.977458","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Provigo","(450) 227-2827 ","50 Rue St-Denis, Saint-Sauveur, J0R 1R4","50 Rue St-Denis","J0R 1R4","Saint-Sauveur","45.890369","-74.155104"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Rachelle Béry","(450) 227-3343 ","377 Rue Principale, Saint-Sauveur, J0R 1R0","377 Rue Principale","J0R 1R0","Saint-Sauveur","45.891008","-74.162126","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"MaXi & Cie","(450) 663-3999 ","2090 Boulevard des Laurentides , Laval, H7M 2Y6","2090 Boulevard des Laurentides ","H7M 2Y6","Laval","45.606855","-73.735458"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"IGA","(450) 963-1072","380 boul. Curé Labelle, Laval, H7L 4T7","380 boul. Curé Labelle","H7L 4T7","Laval","45.593281","-73.785611"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Adonis","(450) 665-8801","2655 Av. Aristocrates, Laval, H7E 0H3","2655 Av. Aristocrates","H7E 0H3","Laval","45.612928","-73.68317","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"IGA ","(450) 934-9044","1535 boul. Corbusier, Laval, H7S 1Z3","1535 boul. Corbusier","H7S 1Z3","Laval","45.562539","-73.726768"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Metro","(450) 687-8233 ","1100 Boulevard de l'Avenir, Laval, H7N 6L2","1100 Boulevard de l'Avenir","H7N 6L2","Laval","45.562197","-73.723758"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Les Marchés Tau","(450) 978-5533 ","3216 Boulevard Saint-Martin, Laval, H7T 1A1","3216 Boulevard Saint-Martin","H7T 1A1","Laval","45.55661","-73.746432","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Grand'Mère Nature","(819) 538-2895 ","830 Avenue de Grand-Mère, Grand-Mère, G9T 2J1","830 Avenue de Grand-Mère","G9T 2J1","Grand-Mère","46.612568","-72.695517"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Provigo","(819) 374-8980 ","3725 Boulevard des Forges, Trois-Rivières, G8Y 4P2","3725 Boulevard des Forges","G8Y 4P2","Trois-Rivières","46.353697","-72.583781"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Panier Santé","(819) 694-4441 ","65 Boulevard Ste Madeleine, Trois-Rivières, G8T 3K8","65 Boulevard Ste Madeleine","G8T 3K8","Trois-Rivières","46.363519","-72.51314","En magasin"," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"La Petite Meunière Inc","(819) 379-6096 ","135 Rue Fusey, Trois-Rivières, G8T 2V6","135 Rue Fusey","G8T 2V6","Trois-Rivières","46.366709","-72.525595","En magasin","En magasin"," "," ","En magasin"," "," "," ","En magasin","En magasin"," "
"Le Marché Végétarien","(819) 372-9730 ","3960 Boulevard des Forges, Trois-Rivières, G8Y 1V7","3960 Boulevard des Forges","G8Y 1V7","Trois-Rivières","46.355843","-72.583384","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Rachelle Béry","(45) 906-4100","100 boul. De la Mortagne, Boucherville, J4B 5M7","100 boul. De la Mortagne","J4B 5M7","Boucherville","45.575406","-73.445651"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Valmont","(450) 655-3821 ","504 Rue Albanel, Boucherville, J4B 2Z6","504 Rue Albanel","J4B 2Z6","Boucherville","45.600671","-73.446829","En magasin"," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Marché Adonis","(450) 656-9595 ","8880 Boulevard Leduc, Brossard, J4Y 0G4","8880 Boulevard Leduc","J4Y 0G4","Brossard","45.450699","-73.440729","En magasin"," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Avril","(450) 443-4127 ","8600 Boulevard Leduc, Brossard, J4Y 0G6","8600 Boulevard Leduc","J4Y 0G6","Brossard","45.450563","-73.444174","En magasin","En magasin"," ","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Les Marchés Tau","(450) 443-9922 ","6845 Taschereau Blvd, Brossard, J4Z 1A7","6845 Taschereau Blvd","J4Z 1A7","Brossard","45.469387","-73.466504","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Oasis Santé L'Epicerie","(450) 403-3388 ","1706 Avenue Bourgogne, Chambly, J3L 1Z2","1706 Avenue Bourgogne","J3L 1Z2","Chambly","45.447403","-73.28499"," "," "," "," ","En magasin"," "," "," "," "," "," "
"Verveine & Cie","(450) 266-4242 ","101 Rue Albert, Cowansville, J2K 2W4","101 Rue Albert","J2K 2W4","Cowansville","45.20777","-72.74883"," "," "," "," ","En magasin"," "," "," "," ","En magasin"," "
"Provigo","(450) 638-5041 ","31 Boulevard Georges-Gagné, Delson, J5B 2E4","31 Boulevard Georges-Gagné","J5B 2E4","Delson","45.382345","-73.548558"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Jardin du Mont","(450) 375-3941 ","252 Rue Denison, Granby, J2H 2R6","252 Rue Denison","J2H 2R6","Granby","45.393696","-72.707257","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin"," "," "
"Jardin du Mont","(450) 375-3941 ","794 Rue Principale, Granby, J2G 2Y7","794 Rue Principale","J2G 2Y7","Granby","45.411264","-72.749039","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Avril","(450) 375-6446","11 Rue Évangéline, Granby, J2G 6N3","11 Rue Évangéline","J2G 6N3","Granby","45.412206","-72.747945"," ","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin"," ","En magasin"
"Provigo","(450) 777-2875 ","80 Rue Saint-Jude, Granby, J2J 2T7","80 Rue Saint-Jude","J2J 2T7","Granby","45.418322","-72.753674"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"IGA","(514) 453-3027 ","110 Boulevard Don-Quichotte, L'Île-Perrot, J7V 6L7","110 Boulevard Don-Quichotte","J7V 6L7","L'Île-Perrot","45.386826","-73.960825"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Fruits et Légumes Taschereau","(450) 659-6449 ","559 Chemin de Saint-Jean, La Prairie, J5R 2L2","559 Chemin de Saint-Jean","J5R 2L2","La Prairie","45.416405","-73.486805"," "," "," "," ","En magasin"," "," "," "," "," "," "
"Panier Sante ","(450) 659-6451 ","50 Taschereau Blvd, La Prairie, J5R 1S8","50 Taschereau Blvd","J5R 1S8","La Prairie","45.422192","-73.486556"," "," "," "," ","En magasin"," "," "," ","En magasin"," ","En magasin"
"Avril","(450) 448-5515 ","1185 Chemin du Tremblay, Longueuil, J4N 1R4","1185 Chemin du Tremblay","J4N 1R4","Longueuil","45.537765","-73.465606","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Provigo","(450) 647-1717 ","1150 Rue King-George, Longueuil, J4N 1P3","1150 Rue King-George","J4N 1P3","Longueuil","45.539305",",, -73.467300"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Les Aliments Naturels L'Eau Vive","(450) 464-5767 ","248 St Georges, Mont-Saint-Hilaire, J3H 2Y1","248 St Georges","J3H 2Y1","Mont-Saint-Hilaire","45.562666","-73.192016","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin"," "," "
"L'Herbier","(450) 443-2978","6215 route Marie Victorin, Sorel-Tracy, J3R 1S1","6215 route Marie Victorin","J3R 1S1","Sorel-Tracy","46.021016","-73.158743"," ","En magasin"," ","En magasin"," "," "," "," "," "," "," "
"Vogel","(450) 742-6294","300 Boulevard Fiset, Sorel-Tracy, J3P 3R1","300 Boulevard Fiset","J3P 3R1","Sorel-Tracy","46.037785","-73.096271"," "," "," "," ","En magasin"," "," ","En magasin"," "," "," "
"Aliments Panier Sante St-Jean","(450) 347-3122 ","145 Boulevard St Joseph, Saint-Jean-sur-Richelieu, J3B 1W5","145 Boulevard St Joseph","J3B 1W5","Saint-Jean-sur-Richelieu","45.315241","-73.258959"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," ","En magasin"
"Boulangerie Bissonnette","(450) 346-6496","251 rue Champlain, Saint-Jean-sur-Richelieu, J3B 6W1","251 rue Champlain","J3B 6W1","Saint-Jean-sur-Richelieu","45.308117","-73.252015"," "," "," "," "," "," "," "," ","En magasin"," "," "
"Aliments Naturels Pleine Lune","(450) 348-8238","495 Boulevard du Séminaire, Saint-Jean-sur-Richelieu, J3B 5L5","495 Boulevard du Séminaire","J3B 5L5","Saint-Jean-sur-Richelieu","45.315015","-73.264322","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
